dataset,stage,column,dtype,row_count,missing_count,missing_pct,blank_or_null_string_count,non_missing_count,unique_non_missing_count,example_non_missing_values
maintenance,raw,related_component_2,float64,245640,245640,100.0,0,0,0,
maintenance,raw,maintenance_type,object,245640,0,0.0,0,245640,5,Filter | Filter | Filter
maintenance,cleaned,full_model,string,245640,0,0.0,0,245640,5,D71PXI-24 | D71PXI-24 | D71PXI-24
maintenance,cleaned,machine_id,string,245640,0,0.0,0,245640,2562,D71PXI-24 70023 | D71PXI-24 70023 | D71PXI-24 70023
maintenance,cleaned,SERIAL,int64,245640,0,0.0,0,245640,2562,70023 | 70023 | 70023
maintenance,cleaned,EVENT_NAME_ID,int64,245640,0,0.0,0,245640,24,6808918 | 6808904 | 6808880
maintenance,cleaned,EVENT_NAME_EN,string,245640,0,0.0,0,245640,24,"AdBlue® ,DEF Filter Change | Hst Filter Element | Fuel Filter"
maintenance,cleaned,event_time,string,245640,0,0.0,0,245640,79443,2020-12-02T13:09:32Z | 2020-12-02T13:09:32Z | 2020-12-02T13:09:32Z
maintenance,cleaned,event_date,string,245640,0,0.0,0,245640,1751,2020-12-02 | 2020-12-02 | 2020-12-02
maintenance,cleaned,previous_reset_time,string,245640,45462,18.5076,0,200178,49466,2021-04-28T02:02:56Z | 2021-04-28T02:09:15Z | 2021-04-28T05:08:00Z
maintenance,cleaned,SMR_SECONDS,int64,245640,0,0.0,0,245640,46663,15960 | 15960 | 15960
maintenance,cleaned,smr_hours,float64,245640,0,0.0,0,245640,46663,4.433333 | 4.433333 | 4.433333
maintenance,cleaned,PREVIOUS_RESET_SMR_SECONDS,float64,245640,45462,18.5076,0,200178,30972,2862120.0 | 2862120.0 | 1843260.0
maintenance,cleaned,previous_reset_smr_hours,float64,245640,45462,18.5076,0,200178,30972,795.033333 | 795.033333 | 512.016667
maintenance,cleaned,PREVIOUS_RESET_REMAINING_HOURS,float64,245640,45462,18.5076,0,200178,25,30000.0 | 30000.0 | 30000.0
maintenance,cleaned,REMAINING_MINUTES,int64,245640,0,0.0,0,245640,3684,119760 | 119760 | 59760
maintenance,cleaned,remaining_hours,float64,245640,0,0.0,0,245640,3684,1996.0 | 1996.0 | 996.0
maintenance,cleaned,INTERVAL_HOURS,int64,245640,0,0.0,0,245640,23,2000 | 2000 | 1000
maintenance,cleaned,THRESHOLD_HOURS,int64,245640,0,0.0,0,245640,8,30 | 30 | 30
maintenance,cleaned,interval_type,string,245640,0,0.0,0,245640,1,Scheduled Interval | Scheduled Interval | Scheduled Interval
maintenance,cleaned,is_monitor_reset,bool,245640,0,0.0,0,245640,2,False | False | False
maintenance,cleaned,is_overdue,bool,245640,0,0.0,0,245640,2,False | False | False
maintenance,cleaned,is_due_now,bool,245640,0,0.0,0,245640,2,False | False | False
maintenance,cleaned,is_notice_or_status,bool,245640,0,0.0,0,245640,2,True | True | True
maintenance,cleaned,AVAILABLE,bool,245640,0,0.0,0,245640,2,True | True | True
maintenance,cleaned,related_component,string,245640,3,0.0012,0,245637,5,Urea SCR System | Transmission | Engine
maintenance,cleaned,related_component_1,string,245640,128137,52.1645,0,117503,3,Engine System | Work Equipment System | Engine System
maintenance,cleaned,maintenance_type,string,245640,0,0.0,0,245640,5,Filter | Filter | Filter
operation,raw,machine_id,object,1815979,0,0.0,0,1815979,2809,D71EX-24 70155 | D71EX-24 70155 | D71EX-24 70155
operation,raw,LOCAL_DATE,object,1815979,0,0.0,0,1815979,950,2023-12-14 | 2024-02-15 | 2024-02-25
operation,raw,CAR_ID,int64,1815979,0,0.0,0,1815979,2809,10000006579 | 10000006579 | 10000006579
operation,raw,full_model,object,1815979,0,0.0,0,1815979,5,D71EX-24 | D71EX-24 | D71EX-24
operation,raw,SERIAL,int64,1815979,0,0.0,0,1815979,2809,70155 | 70155 | 70155
operation,raw,DAILY_OPERATION_HISTORY_ID,int64,1815979,0,0.0,0,1815979,1815979,673716777 | 704857455 | 709777970
operation,raw,DAILY_OPERATION_HISTORY_MANAGEMENT_ID,int64,1815979,0,0.0,0,1815979,1815979,672567187 | 703672245 | 708585804
operation,raw,UPDATE_DATETIME,object,1815979,0,0.0,0,1815979,1814205,2023-12-15 06:43:38.535000 | 2024-02-16 06:59:30.258000 | 2024-02-26 06:02:07.238000
operation,raw,update_datetime_ts,object,1815979,0,0.0,0,1815979,1814205,2023-12-15T06:43:38.535Z | 2024-02-16T06:59:30.258Z | 2024-02-26T06:02:07.238Z
operation,raw,has_smr_utilization_row,int64,1815979,0,0.0,0,1815979,2,1 | 1 | 1
operation,raw,has_activity_working_day_row,int64,1815979,0,0.0,0,1815979,2,1 | 1 | 1
operation,raw,has_engine_utilization_row,int64,1815979,0,0.0,0,1815979,2,1 | 1 | 1
operation,raw,has_travel_movement_row,int64,1815979,0,0.0,0,1815979,1,1 | 1 | 1
operation,raw,joined_group_count,int64,1815979,0,0.0,0,1815979,2,4 | 4 | 4
operation,raw,daily_operation_history_id_mismatch_flag,int64,1815979,0,0.0,0,1815979,1,0 | 0 | 0
operation,raw,smr_seconds_raw,float64,1815979,8152,0.4489,0,1807827,559696,11137620.0 | 11573040.0 | 11606520.0
operation,raw,smr_send_condition,float64,1815979,8152,0.4489,0,1807827,4,2.0 | 2.0 | 2.0
operation,raw,smr_hours,float64,1815979,8152,0.4489,0,1807827,559696,3093.7833333333333 | 3214.733333333333 | 3224.0333333333333
operation,raw,prev_valid_smr_hours,float64,1815979,6124,0.3372,0,1809855,558622,3090.2166666666667 | 3214.733333333333 | 3224.0333333333333
operation,raw,prev_valid_smr_date,object,1815979,6124,0.3372,0,1809855,948,2023-12-13 | 2024-02-14 | 2024-02-24
operation,raw,days_since_prev_valid_smr,float64,1815979,6124,0.3372,0,1809855,237,1.0 | 1.0 | 1.0
operation,raw,smr_raw_delta_since_prev_obs_hours,float64,1815979,10956,0.6033,0,1805023,126183,3.566666666666606 | 0.0 | 0.0
operation,raw,smr_actual_working_seconds_raw,float64,1815979,11434,0.6296,0,1804545,49120,7994.0 | 0.0 | 0.0
operation,raw,smr_actual_working_hours_raw,float64,1815979,11434,0.6296,0,1804545,49120,2.2205555555555554 | 0.0 | 0.0
operation,raw,smr_missing_flag,float64,1815979,3122,0.1719,0,1812857,2,0.0 | 0.0 | 0.0
operation,raw,smr_zero_flag,float64,1815979,3122,0.1719,0,1812857,2,0.0 | 0.0 | 0.0
